State,Age,Gender,Age Range,"In politics today, do you consider yourself a Democrat, a Republican, or Independent? ","Would you say you are liberal, conservative, or moderate? ","
What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q5OTH1,"
What is your race? (white, black, latino, asian, other)",Q6OTH1,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? ","
In general, do you think Americans should be more trusting of foreigners, or more suspicious of foreigners?",Do you agree or disagree with the following statement: People should not be so easily offended. (probe: strongly or somewhat?),"
Do you think that people should be free to express their political opinions in the workplace without getting fired?",Do you think the government should place tighter restrictions on who can buy a gun?,"On average, black people are less highly educated than other groups. Do you think this is mostly because of a lack of effort, or mostly because of circumstances beyond their control?",Do you believe Vladimir Putin when he said that he did not interfere with the 2016 presidential election?,"From what you have seen or heard, do you think Black Lives Matter is offensive?","
Do you think the government should place tighter restrictions on who can smoke marijuana?","
Do you think professional athetes should be allowed to sit or kneel during the national anthem as part of a political protest?",Do you think the government should place tighter restrictions on who can have access to pornography?,"Do you live in a city, suburb, or small town?","People from small towns tend to be less highly educated than people from big cities. Do you think this is mostly because of a lack of effort, or mostly because of circumstances beyond their control?","If Jesus were alive today, do you think he would support Donald Trump?"
DE,36,Female,35-44,Strong Republican,Strong Conservative,Graduate degree,,White,,Somewhat Disapprove,Don't Know/Refused,Strongly Agree,Yes,Yes,Lack of effort,No,Yes,Don't Know/Refused,Yes,Don't Know/Refused,Small Town,Don't Know/Refused,Don't Know/Refused
NJ,65,Male,65+,Strong Republican,Don't Know/Refused,Graduate degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Circumstances beyond their control,Don't Know/Refused,Yes,No,Yes,Yes,Suburb,Don't Know/Refused,Yes
KY,62,Male,55-64,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,No,Yes,No,No,Yes,City,Circumstances beyond their control,Yes
FL,19,Male,18-24,Strong Republican,Not Very Strong Conservative,High school or less,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,No,No,No,No,City,Circumstances beyond their control,Don't Know/Refused
KY,57,Male,55-64,Not very Strong Republican,Not Very Strong Conservative,High school or less,,White,,Strongly Disapprove,More trusting,Somewhat Agree,Yes,Yes,Circumstances beyond their control,No,No,Yes,No,Yes,City,Lack of effort,No
FL,58,Female,55-64,Strong Republican,Moderate,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,No,Yes,Don't Know/Refused,Don't Know/Refused,Don't Know/Refused,Don't Know/Refused,No,Don't Know/Refused,Suburb,Don't Know/Refused,Don't Know/Refused
PA,60,Male,55-64,Strong Republican,Moderate,Some college,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,Yes,Lack of effort,Yes,Yes,Yes,No,Don't Know/Refused,City,Lack of effort,Yes
CA,20,Male,18-24,Strong Republican,Don't Know/Refused,High school or less,,White,,Strongly Approve,More trusting,Somewhat Agree,Yes,Yes,Lack of effort,No,No,No,No,Yes,Small Town,Lack of effort,Yes
CA,50,Female,45-54,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,Don't Know/Refused,Strongly Agree,No,No,Lack of effort,Yes,Yes,Yes,No,Yes,City,Circumstances beyond their control,Don't Know/Refused
UT,78,Female,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,Yes,Lack of effort,No,Yes,Yes,No,Yes,Small Town,Lack of effort,Yes
CA,79,Female,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Disapprove,Don't Know/Refused,Strongly Agree,No,Yes,Lack of effort,Don't Know/Refused,Yes,Yes,No,Yes,City,Circumstances beyond their control,Don't Know/Refused
CA,51,Male,45-54,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Don't Know/Refused,Yes,Yes,Yes,No,Yes,Suburb,Circumstances beyond their control,Don't Know/Refused
PA,50,Male,45-54,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,More trusting,Strongly Agree,No,Yes,Lack of effort,Yes,Yes,No,No,No,Suburb,Circumstances beyond their control,Yes
NY,61,Male,55-64,Not very Strong Republican,Moderate,College degree,,White,,Neither Approve nor Disapprove,More trusting,Somewhat Agree,Yes,Yes,Don't Know/Refused,No,No,No,Yes,Yes,Suburb,Circumstances beyond their control,No
TN,66,Male,65+,Not very Strong Republican,Moderate,High school or less,,White,,Somewhat Disapprove,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,No,No,Yes,No,Yes,Small Town,Circumstances beyond their control,Yes
TX,64,Male,55-64,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Don't Know/Refused,Yes,Yes,No,No,Yes,City,Don't Know/Refused,Yes
CA,45,Male,45-54,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,No,No,No,Suburb,Don't Know/Refused,Yes
OR,48,Male,45-54,Strong Republican,Don't Know/Refused,College degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,No,No,Don't Know/Refused,Yes,Yes,Don't Know/Refused,Don't Know/Refused,No,City,Don't Know/Refused,Yes
AZ,83,Male,65+,Strong Republican,Not Very Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,No,Yes,Yes,No,No,Suburb,Circumstances beyond their control,Yes
KS,43,Male,35-44,Not very Strong Republican,Not Very Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,Yes,Lack of effort,Yes,Yes,No,No,No,Small Town,Circumstances beyond their control,No
CA,55,Female,55-64,Strong Republican,Strong Conservative,College degree,,Black,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,Yes,Don't Know/Refused,Don't Know/Refused,No,Yes,No,Yes,City,Circumstances beyond their control,Don't Know/Refused
AZ,56,Female,55-64,Not very Strong Republican,Not Very Strong Conservative,College degree,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,Yes,Lack of effort,Yes,No,Yes,No,No,City,Lack of effort,Yes
NM,72,Female,65+,Strong Republican,Strong Conservative,Graduate degree,,Black,,Strongly Approve,More suspicious,Somewhat Agree,Yes,Yes,Don't Know/Refused,No,No,Yes,No,Yes,Small Town,Don't Know/Refused,Yes
CA,23,Male,18-24,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,No,No,No,No,Yes,City,Lack of effort,Don't Know/Refused
WY,60,Female,55-64,Strong Republican,Moderate,Graduate degree,,Other,Mexican,Strongly Approve,More trusting,Strongly Agree,Yes,No,Don't Know/Refused,No,Yes,Yes,Yes,Yes,Small Town,Don't Know/Refused,Yes
CO,50,Male,45-54,Strong Republican,Moderate,Graduate degree,,Don't Know/Refused,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Circumstances beyond their control,Don't Know/Refused,Yes,Yes,No,No,City,Lack of effort,Yes
UT,75,Male,65+,Strong Republican,Don't Know/Refused,High school or less,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Don't Know/Refused,Yes,No,Yes,No,Yes,Small Town,Circumstances beyond their control,Yes
CO,45,Male,45-54,Strong Republican,Moderate,Graduate degree,,White,,Strongly Approve,Don't Know/Refused,Somewhat Agree,Yes,Yes,Don't Know/Refused,Yes,Don't Know/Refused,Yes,No,Don't Know/Refused,City,Don't Know/Refused,Don't Know/Refused
AZ,47,Female,45-54,Not very Strong Republican,Not Very Strong Conservative,College degree,,White,,Somewhat Disapprove,More suspicious,Strongly Agree,Don't Know/Refused,Don't Know/Refused,Lack of effort,Don't Know/Refused,Yes,No,No,Yes,Suburb,Lack of effort,Don't Know/Refused
OR,51,Female,45-54,Strong Republican,Strong Conservative,Some college,,White,,Neither Approve nor Disapprove,More trusting,Somewhat Agree,Yes,Yes,Circumstances beyond their control,No,No,Yes,No,Yes,Small Town,Circumstances beyond their control,No
ID,54,Male,45-54,Strong Republican,Moderate,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,No,Yes,No,No,Yes,City,Lack of effort,Yes
OK,44,Female,35-44,Not very Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Circumstances beyond their control,No,No,Yes,No,No,City,Circumstances beyond their control,Yes
NE,54,Male,45-54,Strong Republican,Strong Conservative,Some college,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,No,Yes,Yes,No,No,Small Town,Circumstances beyond their control,Yes
UT,29,Female,25-34,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,No,Yes,Circumstances beyond their control,No,Yes,Yes,No,Yes,Suburb,Circumstances beyond their control,Yes
AZ,70,Female,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,No,Circumstances beyond their control,No,Yes,Yes,Don't Know/Refused,Yes,Suburb,Circumstances beyond their control,Yes
NC,54,Female,45-54,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,No,No,Yes,Small Town,Lack of effort,Yes
ID,57,Male,55-64,Not very Strong Republican,Moderate,Some college,,White,,Neither Approve nor Disapprove,More trusting,Somewhat Disagree,No,No,Lack of effort,No,No,No,Yes,No,Small Town,Lack of effort,No
CO,53,Female,45-54,Strong Republican,Moderate,Some college,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Lack of effort,No,Yes,No,No,Yes,Small Town,Lack of effort,Yes
FL,69,Male,65+,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Somewhat Disagree,Yes,Yes,Circumstances beyond their control,Yes,Yes,No,No,No,Suburb,Circumstances beyond their control,Yes
FL,48,Male,45-54,Strong Republican,Strong Conservative,Graduate degree,,White,,Somewhat Approve,Don't Know/Refused,Strongly Agree,Yes,No,Lack of effort,Don't Know/Refused,Yes,Yes,Yes,Yes,City,Lack of effort,Yes
PA,58,Male,55-64,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,No,Yes,Don't Know/Refused,No,No,Yes,No,Yes,Small Town,Lack of effort,Yes
CA,67,Female,65+,Strong Republican,Strong Conservative,College degree,,Latino,,Strongly Approve,More suspicious,Strongly Agree,No,Yes,Lack of effort,Yes,No,Yes,No,Yes,City,Lack of effort,Yes
WV,37,Female,35-44,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Lack of effort,Don't Know/Refused,Yes,Yes,No,Yes,Small Town,Lack of effort,Don't Know/Refused
CA,33,Male,25-34,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,Yes,Yes,No,Small Town,Circumstances beyond their control,Yes
AZ,62,Male,55-64,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,Yes,No,No,No,Small Town,Circumstances beyond their control,Yes
AZ,77,Male,65+,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,No,Yes,No,No,No,Small Town,Lack of effort,Yes
AZ,34,Male,25-34,Not very Strong Republican,Not Very Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Somewhat Agree,No,No,Circumstances beyond their control,No,Yes,No,Yes,No,City,Circumstances beyond their control,Yes
WV,28,Female,25-34,Not very Strong Republican,Don't Know/Refused,High school or less,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,Yes,Don't Know/Refused,Don't Know/Refused,No,Yes,Yes,Yes,Small Town,Circumstances beyond their control,Yes
CA,31,Male,25-34,Strong Republican,Not Very Strong Conservative,College degree,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,No,Circumstances beyond their control,No,Yes,No,Yes,No,Suburb,Lack of effort,Yes
OH,99,Male,65+,Strong Republican,Strong Conservative,College degree,,Don't Know/Refused,,Don't Know/Refused,More suspicious,Strongly Agree,No,No,Don't Know/Refused,Yes,Yes,No,Yes,No,Small Town,Don't Know/Refused,Yes
FL,85,Female,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,Yes,Circumstances beyond their control,Yes,No,Yes,No,Yes,City,Circumstances beyond their control,Yes
WV,37,Male,35-44,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Don't Know/Refused,No,Yes,No,Yes,Yes,Small Town,Don't Know/Refused,Yes
KY,83,Male,65+,Strong Republican,Moderate,College degree,,Black,,Strongly Approve,More suspicious,Strongly Agree,No,No,Lack of effort,Yes,Yes,No,No,Yes,City,Lack of effort,Yes
CA,44,Male,35-44,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,No,Lack of effort,No,Yes,Yes,No,No,Suburb,Lack of effort,Yes
CA,58,Male,55-64,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,No,Yes,Lack of effort,Yes,Don't Know/Refused,No,No,Yes,Suburb,Circumstances beyond their control,Yes
OK,49,Female,45-54,Strong Republican,Moderate,College degree,,White,,Somewhat Approve,More trusting,Somewhat Agree,No,No,Circumstances beyond their control,Yes,Yes,No,No,Yes,City,Circumstances beyond their control,Yes
AZ,49,Female,45-54,Not very Strong Republican,Not Very Strong Conservative,College degree,,White,,Somewhat Disapprove,More suspicious,Somewhat Agree,Yes,Yes,Circumstances beyond their control,Don't Know/Refused,Yes,Yes,Yes,Yes,Suburb,Circumstances beyond their control,Yes
NC,34,Male,25-34,Strong Republican,Not Very Strong Conservative,Graduate degree,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,Yes,Don't Know/Refused,Yes,Yes,Yes,No,Yes,City,Don't Know/Refused,Yes
AZ,45,Male,45-54,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,No,No,No,City,Lack of effort,Yes
PA,41,Male,35-44,Strong Republican,Moderate,College degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,No,No,No,No,Suburb,Circumstances beyond their control,Yes
KY,68,Female,65+,Not very Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Don't Know/Refused,No,Yes,Don't Know/Refused,No,Yes,Don't Know/Refused,Lack of effort,Yes
NE,28,Male,25-34,Strong Republican,Moderate,College degree,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,No,Don't Know/Refused,Yes,Yes,No,No,No,Small Town,Circumstances beyond their control,Yes
LA,54,Male,45-54,Strong Republican,Don't Know/Refused,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,No,Yes,No,No,No,City,Lack of effort,Yes
CA,88,Male,65+,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,No,Yes,Yes,No,Yes,Suburb,Lack of effort,Yes
OR,27,Female,25-34,Not very Strong Republican,Strong Conservative,College degree,,Don't Know/Refused,,Somewhat Approve,Don't Know/Refused,Somewhat Agree,Yes,No,Circumstances beyond their control,Yes,Yes,Yes,Yes,Yes,Suburb,Circumstances beyond their control,Don't Know/Refused
ID,78,Male,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,Yes,No,Yes,City,Lack of effort,Yes
PA,69,Male,65+,Strong Republican,Moderate,High school or less,,White,,Strongly Approve,More suspicious,Somewhat Agree,No,No,Don't Know/Refused,Don't Know/Refused,Don't Know/Refused,Don't Know/Refused,No,Yes,Small Town,Circumstances beyond their control,Yes
NC,32,Female,25-34,Strong Republican,Moderate,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,No,No,Yes,Small Town,Circumstances beyond their control,Yes
PA,23,Female,18-24,Strong Republican,Moderate,Some college,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,Yes,No,Yes,No,Yes,City,Circumstances beyond their control,Don't Know/Refused
CA,75,Female,65+,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,Yes,No,No,Small Town,Lack of effort,Yes
FL,48,Male,45-54,Strong Republican,Moderate,College degree,,Latino,,Strongly Approve,More suspicious,Strongly Agree,No,No,Lack of effort,No,Yes,No,Yes,No,City,Circumstances beyond their control,No
OH,56,Female,55-64,Strong Republican,Strong Conservative,Some college,,White,,Somewhat Disapprove,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,Yes,No,Yes,Suburb,Lack of effort,Yes
OK,47,Female,45-54,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Disapprove,More suspicious,Somewhat Disagree,Yes,Yes,Don't Know/Refused,No,No,Yes,Yes,Yes,Suburb,Lack of effort,Yes
FL,89,Don't Know/Refused,65+,Not very Strong Republican,Don't Know/Refused,High school or less,,Don't Know/Refused,,Neither Approve nor Disapprove,More trusting,Strongly Disagree,No,Yes,Don't Know/Refused,No,No,No,No,Don't Know/Refused,Don't Know/Refused,Don't Know/Refused,No
CA,50,Female,45-54,Not very Strong Republican,Moderate,Graduate degree,,White,,Somewhat Approve,More trusting,Strongly Agree,No,Yes,Don't Know/Refused,Don't Know/Refused,Yes,Yes,Yes,Yes,Suburb,Don't Know/Refused,Yes
UT,67,Female,65+,Strong Republican,Strong Conservative,College degree,,White,,Don't Know/Refused,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,No,Don't Know/Refused,Don't Know/Refused,No,Yes,Small Town,Don't Know/Refused,Don't Know/Refused
OR,67,Female,65+,Not very Strong Republican,Strong Conservative,High school or less,,White,,Neither Approve nor Disapprove,More suspicious,Strongly Agree,Yes,Yes,Circumstances beyond their control,No,No,Yes,No,Yes,Small Town,Circumstances beyond their control,No
NY,59,Female,55-64,Not very Strong Republican,Not very strong Liberal,High school or less,,White,,Somewhat Disapprove,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,No,No,No,Small Town,Circumstances beyond their control,Don't Know/Refused
NV,72,Male,65+,Not very Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,No,Yes,Circumstances beyond their control,Don't Know/Refused,Yes,Yes,No,Yes,Suburb,Don't Know/Refused,Yes
OK,59,Male,55-64,Not very Strong Republican,Moderate,College degree,,Other,Spanish and White,Somewhat Approve,More trusting,Strongly Agree,No,Yes,Lack of effort,Yes,Yes,Yes,No,No,City,Lack of effort,Don't Know/Refused
NV,67,Male,65+,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,Don't Know/Refused,Strongly Agree,No,Yes,Circumstances beyond their control,No,Yes,Yes,No,Yes,City,Circumstances beyond their control,Yes
